icd9_code,short_title,long_title
V8401,Genetc sus mal neo brest,Genetic susceptibility to malignant neoplasm of breast
V8409,Genetic susc mal neo NEC,Genetic susceptibility to other malignant neoplasm
V8489,Genetic suscept dis NEC,Genetic susceptibility to other disease
V850,"BMI less than 19,adult","Body Mass Index less than 19, adult"
V851,"BMI between 19-24,adult","Body Mass Index between 19-24, adult"
V8521,"BMI 25.0-25.9,adult","Body Mass Index 25.0-25.9, adult"
V8522,"BMI 26.0-26.9,adult","Body Mass Index 26.0-26.9, adult"
V8523,"BMI 27.0-27.9,adult","Body Mass Index 27.0-27.9, adult"
V8524,"BMI 28.0-28.9,adult","Body Mass Index 28.0-28.9, adult"
V8525,"BMI 29.0-29.9,adult","Body Mass Index 29.0-29.9, adult"
V8530,"BMI 30.0-30.9,adult","Body Mass Index 30.0-30.9, adult"
V8531,"BMI 31.0-31.9,adult","Body Mass Index 31.0-31.9, adult"
V8532,"BMI 32.0-32.9,adult","Body Mass Index 32.0-32.9, adult"
V8533,"BMI 33.0-33.9,adult","Body Mass Index 33.0-33.9, adult"
V8534,"BMI 34.0-34.9,adult","Body Mass Index 34.0-34.9, adult"
V8535,"BMI 35.0-35.9,adult","Body Mass Index 35.0-35.9, adult"
V8536,"BMI 36.0-36.9,adult","Body Mass Index 36.0-36.9, adult"
V8537,"BMI 37.0-37.9,adult","Body Mass Index 37.0-37.9, adult"
V8538,"BMI 38.0-38.9,adult","Body Mass Index 38.0-38.9, adult"
V8539,"BMI 39.0-39.9,adult","Body Mass Index 39.0-39.9, adult"
V8541,"BMI 40.0-44.9, adult","Body Mass Index 40.0-44.9, adult"
V8542,"BMI 45.0-49.9, adult","Body Mass Index 45.0-49.9, adult"
V8543,"BMI 50.0-59.9, adult","Body Mass Index 50.0-59.9, adult"
V8544,"BMI 60.0-69.9, adult","Body Mass Index 60.0-69.9, adult"
V8545,"BMI 70 and over, adult","Body Mass Index 70 and over, adult"
V860,Estrogen recep pstv stat,Estrogen receptor positive status [ER+]
V861,Estrogen recep neg stat,Estrogen receptor negative status [ER-]
V8709,Cntct/exp hazrd metl NEC,Contact with and (suspected) exposure to other hazardous metals
V872,Cont/exp hazard chem NEC,Contact with and (suspected) exposure to other potentially hazardous chemicals
V8741,Hx antineoplastic chemo,Personal history of antineoplastic chemotherapy
V8745,Hx systemc steroid thrpy,Personal history of systemic steroid therapy
V8801,Acq absnce cervix/uterus,Acquired absence of both cervix and uterus
V8811,Acq total absnc pancreas,Acquired total absence of pancreas
V8812,Acq part absnce pancreas,Acquired partial absence of pancreas
V8821,Acq absence of hip joint,Acquired absence of hip joint
V9010,Retained metal frag NOS,"Retained metal fragments, unspecified"
V902,Retain plastic fragments,Retained plastic fragments
V9039,Retain organic frag NEC,Other retained organic fragments
V9081,Retained glass fragments,Retained glass fragments
V9089,Retain FB NEC,Other specified retained foreign body
V9103,Twin gest-dich/diamniotc,"Twin gestation, dichorionic/diamniotic (two placentae, two amniotic sacs)"
